T07	"Enrolment in primary, secondary and tertiary education levels"					
1	"Total, all countries or areas"	2014	Gross enrollment ratio - Primary (female)	102.7		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2014	Students enrolled in secondary education (thousands)	"579,906"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2014	Gross enrollment ratio - Secondary (male)	76.7		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2014	Gross enrollment ratio - Secondary (female)	75.7		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2014	Students enrolled in tertiary education (thousands)	"211,455"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2014	Gross enrollment ratio - Tertiary (male)	33.5		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2014	Gross enrollment ratio - Tertiary (female)	37.2		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2015	Students enrolled in primary education (thousands)	"723,319"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2015	Gross enrollement ratio - Primary (male)	103.1		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2015	Gross enrollment ratio - Primary (female)	102.8		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2015	Students enrolled in secondary education (thousands)	"581,620"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2015	Gross enrollment ratio - Secondary (male)	76.8		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2015	Gross enrollment ratio - Secondary (female)	75.7		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2015	Students enrolled in tertiary education (thousands)	"214,083"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2015	Gross enrollment ratio - Tertiary (male)	34.2		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2015	Gross enrollment ratio - Tertiary (female)	38.1		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2016	Students enrolled in primary education (thousands)	"740,231"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2016	Gross enrollement ratio - Primary (male)	104.1		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2016	Gross enrollment ratio - Primary (female)	104.6		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2016	Students enrolled in secondary education (thousands)	"585,517"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2016	Gross enrollment ratio - Secondary (male)	76.9		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2016	Gross enrollment ratio - Secondary (female)	75.9		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2016	Students enrolled in tertiary education (thousands)	"215,945"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2016	Gross enrollment ratio - Tertiary (male)	34.7		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1	"Total, all countries or areas"	2016	Gross enrollment ratio - Tertiary (female)	39		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2005	Students enrolled in primary education (thousands)	"23,023"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2005	Gross enrollement ratio - Primary (male)	97.5		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2005	Gross enrollment ratio - Primary (female)	90.3		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2005	Students enrolled in secondary education (thousands)	"16,909"	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2005	Gross enrollment ratio - Secondary (male)	68.7	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2005	Gross enrollment ratio - Secondary (female)	67.8	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2005	Students enrolled in tertiary education (thousands)	"4,586"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2005	Gross enrollment ratio - Tertiary (male)	23.8		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2005	Gross enrollment ratio - Tertiary (female)	23		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2010	Students enrolled in primary education (thousands)	"23,598"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2010	Gross enrollement ratio - Primary (male)	101.4		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2010	Gross enrollment ratio - Primary (female)	96		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2010	Students enrolled in secondary education (thousands)	"17,399"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2010	Gross enrollment ratio - Secondary (male)	72.2		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2010	Gross enrollment ratio - Secondary (female)	70.4		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2010	Students enrolled in tertiary education (thousands)	"5,515"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2010	Gross enrollment ratio - Tertiary (male)	25.8		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2010	Gross enrollment ratio - Tertiary (female)	27.7		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2014	Students enrolled in primary education (thousands)	"25,169"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2014	Gross enrollement ratio - Primary (male)	100.3		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2014	Gross enrollment ratio - Primary (female)	96.7		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2014	Students enrolled in secondary education (thousands)	"18,464"	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2014	Gross enrollment ratio - Secondary (male)	77.9	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2014	Gross enrollment ratio - Secondary (female)	77.2	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2014	Students enrolled in tertiary education (thousands)	"5,884"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2014	Gross enrollment ratio - Tertiary (male)	28		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2014	Gross enrollment ratio - Tertiary (female)	30.2		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2015	Students enrolled in primary education (thousands)	"25,787"	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2015	Gross enrollement ratio - Primary (male)	100.7	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2015	Gross enrollment ratio - Primary (female)	97.2	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2015	Students enrolled in secondary education (thousands)	"18,689"	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2015	Gross enrollment ratio - Secondary (male)	78.5	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2015	Gross enrollment ratio - Secondary (female)	77.8	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2015	Students enrolled in tertiary education (thousands)	"6,332"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2015	Gross enrollment ratio - Tertiary (male)	30.1		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2015	Gross enrollment ratio - Tertiary (female)	33.3		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2016	Students enrolled in primary education (thousands)	"26,477"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2016	Gross enrollement ratio - Primary (male)	101.1		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2016	Gross enrollment ratio - Primary (female)	97.7		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2016	Students enrolled in secondary education (thousands)	"19,049"	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2016	Gross enrollment ratio - Secondary (male)	79.3	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2016	Gross enrollment ratio - Secondary (female)	78.4	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2016	Students enrolled in tertiary education (thousands)	"6,471"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2016	Gross enrollment ratio - Tertiary (male)	30.5		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15	Northern Africa	2016	Gross enrollment ratio - Tertiary (female)	35.2		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2005	Students enrolled in primary education (thousands)	"113,402"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2005	Gross enrollement ratio - Primary (male)	99.9		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2005	Gross enrollment ratio - Primary (female)	88.1		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2005	Students enrolled in secondary education (thousands)	"32,003"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2005	Gross enrollment ratio - Secondary (male)	35.6		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2005	Gross enrollment ratio - Secondary (female)	27.8		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2005	Students enrolled in tertiary education (thousands)	"4,075"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2005	Gross enrollment ratio - Tertiary (male)	7		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2005	Gross enrollment ratio - Tertiary (female)	4.7		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2010	Students enrolled in primary education (thousands)	"135,891"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2010	Gross enrollement ratio - Primary (male)	100.8		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2010	Gross enrollment ratio - Primary (female)	93.3		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2010	Students enrolled in secondary education (thousands)	"44,900"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2010	Gross enrollment ratio - Secondary (male)	43.3		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2010	Gross enrollment ratio - Secondary (female)	35.5		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2010	Students enrolled in tertiary education (thousands)	"5,820"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2010	Gross enrollment ratio - Tertiary (male)	8.9		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2010	Gross enrollment ratio - Tertiary (female)	5.9		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2014	Students enrolled in primary education (thousands)	"153,640"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2014	Gross enrollement ratio - Primary (male)	101.6		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2014	Gross enrollment ratio - Primary (female)	95.4		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2014	Students enrolled in secondary education (thousands)	"53,961"	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2014	Gross enrollment ratio - Secondary (male)	45.2	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2014	Gross enrollment ratio - Secondary (female)	39	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2014	Students enrolled in tertiary education (thousands)	"7,277"	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2014	Gross enrollment ratio - Tertiary (male)	9.9	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2014	Gross enrollment ratio - Tertiary (female)	6.9	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2015	Students enrolled in primary education (thousands)	"156,980"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2015	Gross enrollement ratio - Primary (male)	100.9		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2015	Gross enrollment ratio - Primary (female)	95.3		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2015	Students enrolled in secondary education (thousands)	"55,914"	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2015	Gross enrollment ratio - Secondary (male)	45.5	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2015	Gross enrollment ratio - Secondary (female)	39.2	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2015	Students enrolled in tertiary education (thousands)	"7,417"	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2015	Gross enrollment ratio - Tertiary (male)	9.9	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2015	Gross enrollment ratio - Tertiary (female)	7	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2016	Students enrolled in primary education (thousands)	"160,987"	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2016	Gross enrollement ratio - Primary (male)	100.8	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2016	Gross enrollment ratio - Primary (female)	95.5	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202	Sub-Saharan Africa	2016	Students enrolled in secondary education (thousands)	"57,726"	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
